88,-1,0.503539,450,2,2,0,0,0,357,110,20,0,0,0,0
89,-1,0.503539,451,2,2,0,0,0,357,76,20,0,0,0,0
90,-1,0.503539,457,1,1,0,0,0,228,101,20,0,0,0,0
91,-1,0.503539,454,2,2,0,0,0,357,110,20,0,0,0,0
92,-1,0.503539,454,1,1,0,0,0,228,98,19,0,0,0,0
93,-1,0.503539,463,2,2,0,0,0,261,149,21,0,0,0,0
94,-1,0.503539,454,2,2,0,0,0,316,98,21,0,0,0,0
95,-1,0.503539,456,2,2,0,0,0,316,88,20,0,0,0,0
96,-1,0,456,2,2,0,0,0,228,81,19,0,0,0,0
97,-1,0.503539,454,1,1,0,0,0,335,124,19,0,0,0,0
98,-1,0.503539,457,1,1,0,0,0,228,98,19,0,0,0,0
99,-1,0.503539,454,2,2,0,0,0,316,98,20,0,0,0,0
100,-1,0.503539,455,0,0,0,0,0,357,112,20,0,0,0,0
101,-1,0.503539,454,2,2,0,0,0,357,110,20,0,0,0,0
102,-1,0.503539,456,1,1,0,0,0,335,124,19,0,0,0,0
103,-1,0.503539,457,1,1,0,0,0,228,101,20,0,0,0,1
104,-1,0.503539,460,1,1,0,0,0,228,101,20,0,0,0,0
105,-1,0.504164,456,6,5,0,0,1,375,110,21,0,0,0,0
106,-1,0.503539,454,4,3,0,0,1,357,107,20,0,0,0,0
107,-1,0.503539,457,1,1,0,0,0,357,107,20,0,0,0,0
108,-1,0.503539,461,2,2,0,0,0,316,110,20,0,0,0,0
109,-1,0.498552,454,1,1,0,0,0,357,110,20,0,0,0,0
110,-1,0.503539,458,1,1,0,0,0,279,98,22,0,0,0,0
111,-1,0.503539,457,1,1,0,0,0,335,95,19,0,0,0,0
112,-1,0.503539,454,0,0,0,0,0,357,107,20,0,0,0,0
113,-1,0.503539,458,1,1,0,0,0,335,95,19,0,0,0,0
114,-1,0,463,1,1,0,0,0,228,72,20,0,0,0,0
115,-1,0.503539,454,1,1,0,0,0,300,107,20,0,0,0,0
116,-1,0.503539,457,1,1,0,0,0,228,101,20,0,0,0,0
117,-1,0.503539,457,1,1,0,0,0,228,89,20,0,0,0,0
118,-1,0.503539,455,1,1,0,0,0,179,110,19,0,0,0,0
119,-1,0.503539,455,1,1,0,0,0,228,101,20,0,0,0,0
120,-1,0.499889,454,3,3,0,0,0,324,110,20,0,0,0,0
121,-1,0.504261,455,1,1,0,0,0,370,107,20,0,0,0,0
122,-1,0.503539,455,1,1,0,0,0,357,110,20,0,0,0,0
123,-1,-406.33,457,2,2,0,0,0,394,110,20,0,0,0,0
124,-1,0.502793,457,1,1,0,0,0,343,98,21,0,0,0,1
125,-1,0.503539,456,1,1,0,0,0,389,187,21,0,0,0,0
126,-1,0.503539,456,1,1,0,0,0,228,101,19,0,0,0,0
127,-1,0.503539,458,1,1,0,0,0,187,139,19,0,0,0,0
128,-1,0.504164,456,1,1,0,0,0,335,124,19,0,0,0,0
129,-1,0,453,2,2,0,0,0,373,110,20,0,0,0,1
130,-1,0.503539,456,1,1,0,0,0,335,157,19,0,0,0,0
131,-1,0.503539,457,1,1,0,0,0,248,98,21,0,0,0,0
132,-1,0.503539,453,0,0,0,0,0,308,116,21,0,0,0,1
133,-1,0.503539,456,1,1,0,0,0,228,89,18,0,0,0,0
134,-1,0.502914,455,3,2,0,0,1,366,124,20,0,0,0,0
135,-1,0.504164,458,1,1,0,0,0,228,101,20,0,0,0,0
136,-1,0.504261,454,0,0,0,0,0,308,116,22,0,0,0,0
137,-1,0.503539,458,3,2,0,0,0,357,135,21,0,0,0,0
138,-1,0.503539,456,1,1,0,0,0,335,76,19,0,0,0,0
139,-1,0.503539,455,1,1,0,0,0,357,110,20,0,0,0,0
140,-1,0.503539,457,2,2,0,0,0,281,110,20,0,0,0,0
141,-1,0.503539,456,1,1,0,0,0,335,124,19,0,0,0,0
142,-1,0.503539,453,0,0,0,0,0,308,116,21,0,0,0,0
143,-1,0.503539,456,0,0,0,0,0,228,98,20,0,0,0,0
144,-1,0.503539,459,2,2,0,0,0,357,140,20,0,0,0,0
145,-1,0.503539,453,1,1,0,0,0,179,110,19,0,0,0,0
146,-1,0.503539,460,1,1,0,0,0,228,98,20,0,0,0,0
147,-1,0.504164,451,2,2,0,0,0,283,110,20,0,0,0,0
148,-1,0.504261,456,1,1,0,0,0,357,110,19,0,0,0,0
149,-1,0.503539,455,0,0,0,0,0,308,116,21,0,0,0,0
150,-1,0.503539,462,1,1,0,0,0,228,101,20,0,0,0,0
151,-1,0.498272,457,2,2,0,0,0,316,88,20,0,0,0,0
152,-1,0.503539,456,1,1,0,0,0,228,89,19,0,0,0,0
153,-1,0.504261,455,1,1,0,0,0,228,101,20,0,0,0,0
154,-1,0.503539,455,2,2,0,0,0,321,164,20,0,0,0,0
155,-1,0.503539,459,1,1,0,0,0,228,60,18,0,0,0,0
156,-1,0.504261,466,1,1,0,0,0,228,72,20,0,0,0,0
157,-1,0.503405,456,0,0,0,0,0,228,98,20,0,0,0,0
158,-1,0.503539,455,2,2,0,0,0,332,110,20,0,0,0,0
159,-1,0.501009,458,5,4,0,0,1,335,95,18,0,0,0,0
160,-1,0.503539,452,2,2,0,0,0,357,110,20,0,0,0,0
161,-1,0,456,0,0,0,0,0,228,98,20,0,0,0,0
162,-1,0.503539,452,0,0,0,0,0,288,170,21,0,0,0,0
163,-1,0.503539,454,1,1,0,0,0,288,124,18,0,0,0,1
164,-1,0.503539,451,0,0,0,0,0,357,107,20,0,0,0,0
165,-1,0.504164,456,1,1,0,0,0,335,124,19,0,0,0,0
166,-1,0,454,0,0,0,0,0,308,116,21,0,0,0,0
167,-1,0.503539,457,1,1,0,0,0,279,98,22,0,0,0,0
168,-1,0.499889,457,1,1,0,0,0,279,98,22,0,0,0,0
169,-1,0.504261,450,0,0,0,0,0,357,107,20,0,0,0,0
170,-1,0.504164,462,2,2,0,0,0,228,101,20,0,0,0,0
171,-1,0.503539,458,4,3,0,0,1,316,88,20,0,0,0,0
172,-1,0.504261,458,1,1,0,0,0,335,95,19,0,0,0,0
173,-1,0.502914,456,0,0,0,0,0,228,98,20,0,0,0,0
174,-1,0.503539,459,0,0,0,0,0,357,107,19,0,0,0,0
175,-1,0.503539,455,1,1,0,0,0,308,131,22,0,0,0,0
176,-1,0.503539,458,2,2,0,0,0,316,88,20,0,0,0,0
177,-1,0.503539,457,1,1,0,0,0,228,101,20,0,0,0,0
178,-1,0.503539,462,1,1,0,0,0,279,98,22,0,0,0,0
179,-1,0.504886,457,0,0,0,0,0,228,98,20,0,0,0,0
180,-1,0.503539,452,0,0,0,0,0,357,107,20,0,0,0,0
181,-1,0.503539,458,3,2,0,0,1,335,95,19,0,0,0,0
182,-1,0.503539,453,3,3,0,0,0,322,110,20,0,0,0,0
183,-1,0.503539,457,1,1,0,0,0,279,98,23,0,0,0,0
184,-1,0.503539,451,0,0,0,0,0,357,130,20,0,0,0,0
185,-1,0.503539,453,0,0,0,0,0,308,87,20,0,0,0,0
186,-1,0.503539,454,0,0,0,0,0,308,116,21,0,0,0,0
187,-1,0.503539,453,0,0,0,0,0,357,107,20,0,0,0,0
188,-1,0.503539,459,1,1,0,0,0,321,164,20,0,0,0,0
189,-1,0.504261,462,1,1,0,0,0,228,116,21,0,0,0,0
190,-1,0.503539,454,0,0,0,0,0,308,116,21,0,0,0,1
191,-1,0.503539,455,1,1,0,0,0,282,95,17,0,0,0,0
192,-1,0.503539,457,1,1,0,0,0,279,98,22,0,0,0,0
193,-1,0.503539,458,1,1,0,0,0,307,98,22,0,0,0,0
194,-1,0.503539,454,2,2,0,0,0,373,110,20,0,0,0,1
195,-1,0.503797,449,0,0,0,0,0,357,107,20,0,0,0,0
196,-1,0.504261,453,2,2,0,0,0,373,110,20,0,0,0,0
197,-1,0.503539,457,0,0,0,0,0,228,98,20,0,0,0,0
198,-1,0.503539,460,4,3,0,0,1,343,107,20,0,0,0,0
199,-1,0.503539,455,0,0,0,0,0,347,107,20,0,0,0,0
200,-1,0.503539,459,0,0,0,0,0,228,98,20,0,0,0,0
201,-1,0,459,0,0,0,0,0,228,98,20,0,0,0,0
202,-1,0.504261,457,0,0,0,0,0,228,98,20,0,0,0,0
203,-1,0.503539,457,0,0,0,0,0,228,98,20,0,0,0,0
204,-1,0.497713,458,0,0,0,0,0,297,126,21,0,0,0,0
205,-1,0.504525,458,0,0,0,0,0,228,98,20,0,0,0,0
206,-1,0.503539,451,0,0,0,0,0,308,87,20,0,0,0,0
207,-1,0.503539,453,0,0,0,0,0,308,87,19,0,0,0,0
208,-1,0,457,0,0,0,0,0,264,98,19,0,0,0,0
209,-1,0.494202,460,1,1,0,0,0,321,164,20,0,0,0,0
210,-1,0.504261,456,0,0,0,0,0,365,107,19,0,0,0,0
211,-1,0.504261,457,1,1,0,0,0,321,164,20,0,0,0,0
212,-1,0.503539,456,0,0,0,0,0,228,98,20,0,0,0,0
213,-1,0.503539,454,1,1,0,0,0,282,95,17,0,0,0,0
214,-1,0.504261,455,0,0,0,0,0,228,98,20,0,0,0,0
215,-1,0.504164,452,0,0,0,0,0,298,136,20,0,0,0,0
216,-1,0.503539,457,0,0,0,0,0,228,98,20,0,0,0,0
217,-1,0.498897,452,2,2,0,0,0,373,110,20,0,0,0,0
218,-1,0.503539,451,0,0,0,0,0,389,107,20,0,0,0,0
219,-1,0.503539,454,2,2,0,0,0,357,110,20,0,0,0,0
220,-1,0.504261,458,1,1,0,0,0,228,146,21,0,0,0,0
221,-1,0.503539,462,0,0,0,0,0,228,71,20,0,0,0,0
222,-1,0.503539,454,0,0,0,0,0,357,107,20,0,0,0,0
223,-1,0.503539,452,0,0,0,0,0,357,107,20,0,0,0,0
224,-1,0.503539,462,0,0,0,0,0,357,107,19,0,0,0,0
225,-1,0.503539,457,0,0,0,0,0,228,98,20,0,0,0,0
226,-1,0.503539,458,1,1,0,0,0,321,164,20,0,0,0,0
227,-1,0.500714,458,0,0,0,0,0,228,98,20,0,0,0,0
228,-1,0.503539,454,1,1,0,0,0,274,124,18,0,0,0,0
229,-1,0.504261,453,2,2,0,0,0,319,222,22,0,0,0,0
230,-1,0.502555,456,1,1,0,0,0,274,124,17,0,0,0,0
231,-1,0.504164,455,0,0,0,0,0,228,98,20,0,0,0,0
232,-1,0.503539,455,0,0,0,0,0,228,98,20,0,0,0,1
233,-1,0.503539,459,0,0,0,0,0,408,107,19,0,0,0,0
234,-1,0.504525,455,0,0,0,0,0,308,116,21,0,0,0,0
235,-1,0.504525,457,0,0,0,0,0,347,107,20,0,0,0,0
236,-1,0.504261,455,0,0,0,0,0,347,98,20,0,0,0,0
237,-1,0.504886,456,0,0,0,0,0,218,152,20,0,0,0,0
238,-1,0,460,1,1,0,0,0,321,164,20,0,0,0,0
239,-1,0.504261,455,0,0,0,0,0,343,98,18,0,0,0,0
240,-1,0.504261,453,0,0,0,0,0,228,131,21,0,0,0,0
241,-1,0.503539,454,0,0,0,0,0,343,98,18,0,0,0,0
242,-1,0.503539,458,0,0,0,0,0,357,107,19,0,0,0,0
243,-1,0.504261,460,0,0,0,0,0,228,98,20,0,0,0,0
244,-1,0.497567,463,0,0,0,0,0,297,97,20,0,0,0,0
245,-1,0.503539,458,0,0,0,0,0,232,98,20,0,0,0,1
246,-1,0.504261,457,0,0,0,0,0,365,107,19,0,0,0,0
247,-1,0.503539,452,0,0,0,0,0,357,107,20,0,0,0,0
248,-1,0.504886,457,0,0,0,0,0,357,107,19,0,0,0,0
249,-1,0.503539,456,0,0,0,0,0,228,98,20,0,0,0,1
250,-1,0.504261,453,0,0,0,0,0,310,87,19,0,0,0,0
251,-1,0.503539,454,0,0,0,0,0,228,131,21,0,0,0,0
252,-1,0.503539,449,0,0,0,0,0,357,107,20,0,0,0,0
253,-1,0,459,0,0,0,0,0,389,205,18,0,0,0,0
254,-1,0.503539,457,0,0,0,0,0,228,98,19,0,0,0,0
255,-1,0.504886,452,2,2,0,0,0,357,110,20,0,0,0,0
256,-1,0.503539,454,0,0,0,0,0,322,44,19,0,0,0,0
257,-1,0.503539,453,0,0,0,0,0,308,136,20,0,0,0,0
258,-1,0.504886,461,0,0,0,0,0,357,140,19,0,0,0,0
259,-1,0.504164,449,0,0,0,0,0,357,107,20,0,0,0,1
260,-1,0.504886,458,1,0,0,0,0,228,98,21,0,0,0,0
261,-1,0.503539,453,2,2,0,0,0,357,110,20,0,0,0,0
262,-1,0.504261,456,0,0,0,0,0,357,107,20,0,0,0,0
263,-1,0.504261,457,0,0,0,0,0,228,123,20,0,0,0,0
264,-1,0.504261,458,0,0,0,0,0,228,98,20,0,0,0,0
265,-1,0.504261,452,0,0,0,0,0,322,107,20,0,0,0,0
266,-1,0.503539,458,2,1,0,0,1,357,107,19,0,0,0,0
267,-1,0.503539,456,0,0,0,0,0,228,98,20,0,0,0,0
268,-1,0,453,0,0,0,0,0,288,170,21,0,0,0,0
269,-1,0.504261,457,0,0,0,0,0,228,98,20,0,0,0,0
270,-1,0.503218,453,0,0,0,0,0,228,98,20,0,0,0,0
271,-1,0.504886,455,0,0,0,0,0,306,76,18,0,0,0,0
272,-1,0.503539,455,0,0,0,0,0,275,35,19,0,0,0,0
273,-1,0.504261,459,1,1,0,0,0,445,107,19,0,0,0,0
274,-1,0.503539,457,0,0,0,0,0,365,107,20,0,0,0,0
275,-1,-0.253078,455,0,0,0,0,0,345,116,21,0,0,0,0
276,-1,0.504886,452,0,0,0,0,0,308,116,21,0,0,0,0
277,-1,0.503539,457,0,0,0,0,0,308,54,17,0,0,0,0
278,-1,0.503539,460,1,1,0,0,0,321,164,20,0,0,0,0
279,-1,0.504886,455,0,0,0,0,0,308,116,21,0,0,0,0
280,-1,0.502793,455,1,1,0,0,0,288,124,18,0,0,0,0
281,-1,0.503539,452,2,2,0,0,0,357,110,20,0,0,0,0
282,-1,0.503539,458,0,0,0,0,0,357,107,19,0,0,0,0
283,-1,0.503539,456,0,0,0,0,0,379,119,21,0,0,0,0
284,-1,0.504164,453,0,0,0,0,0,322,107,20,0,0,0,0
285,-1,0.503539,454,1,1,0,0,0,361,107,20,0,0,0,0
286,-1,0.504261,460,0,0,0,0,0,228,98,20,0,0,0,0
287,-1,0.504261,460,0,0,0,0,0,228,98,20,0,0,0,0
288,-1,0.504886,454,0,0,0,0,0,357,107,20,0,0,0,0
289,-1,0.503539,459,1,1,0,0,0,321,164,20,0,0,0,0
290,-1,0.503539,453,0,0,0,0,0,288,170,21,0,0,0,0
291,-1,0.504261,457,0,0,0,0,0,228,98,20,0,0,0,0
292,-1,0.503539,458,0,0,0,0,0,246,98,21,0,0,0,0
293,-1,0.504261,460,0,0,0,0,0,357,107,20,0,0,0,0
294,-1,0.499367,458,0,0,0,0,0,228,98,20,0,0,0,0
295,-1,0.503539,459,0,0,0,0,0,232,98,20,0,0,0,0
296,-1,0.504164,462,0,0,0,0,0,357,98,21,0,0,0,0
297,-1,0.504261,455,3,2,0,0,1,329,109,20,0,0,0,0
298,-1,0.503539,452,0,0,0,0,0,322,145,20,0,0,0,0
299,-1,0.504261,453,0,0,0,0,0,288,170,21,0,0,0,0
300,-1,0.501702,457,0,0,0,0,0,228,98,20,0,0,0,0
301,-1,0.504886,455,0,0,0,0,0,228,98,20,0,0,0,0
302,-1,0.503539,457,0,0,0,0,0,228,98,20,0,0,0,0
303,-1,0.499224,453,0,0,0,0,0,389,107,20,0,0,0,0
304,-1,0.504261,452,0,0,0,0,0,288,170,21,0,0,0,0
305,-1,0.504261,460,1,1,0,0,0,286,163,20,0,0,0,0
306,-1,0.503539,458,0,0,0,0,0,228,86,20,0,0,0,0
307,-1,0.504261,460,1,1,0,0,0,321,164,20,0,0,0,0
308,-1,0.504261,452,2,2,0,0,0,283,110,20,0,0,0,0
309,-1,0.503539,454,0,0,0,0,0,322,44,19,0,0,0,0
310,-1,0.503539,455,0,0,0,0,0,228,98,19,0,0,0,0
311,-1,0.504886,454,1,1,0,0,0,312,107,20,0,0,0,0
312,-1,0.503539,458,1,0,0,0,0,228,98,21,0,0,0,0
313,-1,0.504261,457,0,0,0,0,0,347,107,20,0,0,0,0
314,-1,0.504261,454,0,0,0,0,0,357,107,20,0,0,0,0
315,-1,0.503539,452,0,0,0,0,0,322,136,21,0,0,0,0
316,-1,0.503539,458,1,0,0,0,0,248,98,22,0,0,0,0
317,-1,0.503539,451,0,0,0,0,0,357,107,20,0,0,0,0
318,-1,0.504261,461,0,0,0,0,0,322,98,19,0,0,0,0
319,-1,0.503539,457,1,1,0,0,0,228,98,20,0,0,0,0
320,-1,0.504261,453,0,0,0,0,0,288,170,21,0,0,0,0
321,-1,0.501917,452,0,0,0,0,0,308,131,21,0,0,0,0
322,-1,0.504886,458,0,0,0,0,0,228,98,21,0,0,0,0
323,-1,0.504164,462,0,0,0,0,0,407,225,19,0,0,0,0
324,-1,0.504886,452,0,0,0,0,0,357,107,20,0,0,0,0
325,-1,0.504261,456,0,0,0,0,0,365,107,19,0,0,0,0
326,-1,0.499992,459,0,0,0,0,0,357,107,19,0,0,0,0
327,-1,0.503539,461,1,1,0,0,0,280,164,20,0,0,0,0
328,-1,0.504261,461,0,0,0,0,0,357,107,20,0,0,0,0
329,-1,0.503539,455,1,1,0,0,0,288,124,18,0,0,0,0
330,-1,0.504261,462,1,0,0,0,0,228,98,21,0,0,0,0
331,-1,0.504886,453,0,0,0,0,0,308,116,21,0,0,0,0
332,-1,0.504261,451,0,0,0,0,0,389,107,19,0,0,0,0
333,-1,0.504886,454,1,1,0,0,0,274,124,17,0,0,0,0
334,-1,0.504886,460,2,1,0,0,1,316,107,19,0,0,0,0
335,-1,0.504886,455,0,0,0,0,0,331,107,20,0,0,0,0
336,-1,0.503539,459,1,1,0,0,0,321,164,20,0,0,0,0
337,-1,0.504261,458,0,0,0,0,0,347,107,19,0,0,0,0
338,-1,0.504886,455,0,0,0,0,0,357,81,20,0,0,0,0
339,-1,0.504261,456,0,0,0,0,0,365,107,19,0,0,0,0
340,-1,0.504261,458,0,0,0,0,0,365,107,19,0,0,0,0
341,-1,0.504164,456,0,0,0,0,0,228,98,20,0,0,0,0
342,-1,0.504261,451,0,0,0,0,0,389,107,19,0,0,0,0
343,-1,0.504261,457,0,0,0,0,0,357,107,19,0,0,0,0
344,-1,0.504261,460,0,0,0,0,0,208,178,20,0,0,0,0
345,-1,0.503539,460,1,1,0,0,0,357,107,20,0,0,0,0
346,-1,0.504886,453,3,2,0,0,1,361,107,20,0,0,0,0
347,-1,0.504886,459,0,0,0,0,0,357,107,19,0,0,0,0
348,-1,0.504261,456,0,0,0,0,0,228,98,20,0,0,0,0
349,-1,0.504261,453,0,0,0,0,0,308,131,22,0,0,0,0
350,-1,0.504886,460,0,0,0,0,0,357,98,21,0,0,0,0
351,-1,0.503703,451,0,0,0,0,0,389,107,19,0,0,0,0
352,-1,0,456,6,5,0,0,1,223,67,20,0,0,0,0
353,-1,0.504261,458,0,0,0,0,0,380,107,19,0,0,0,0
354,-1,0.503539,455,0,0,0,0,0,347,107,19,0,0,0,0
355,-1,0.503539,463,0,0,0,0,0,357,110,22,0,0,0,0
356,-1,0.504886,451,0,0,0,0,0,389,85,19,0,0,0,0
357,-1,0.504128,454,0,0,0,0,0,308,116,21,0,0,0,0
358,-1,0.504261,453,0,0,0,0,0,338,91,19,0,0,0,0
359,-1,0.504261,452,0,0,0,0,0,288,170,21,0,0,0,0
360,-1,0.504886,459,0,0,0,0,0,380,107,19,0,0,0,0
361,-1,0.503539,457,0,0,0,0,0,357,81,20,0,0,0,0
362,-1,0.504261,450,0,0,0,0,0,357,107,20,0,0,0,0
363,-1,0.504525,450,0,0,0,0,0,357,107,20,0,0,0,0
364,-1,0.504886,460,1,0,0,0,0,141,98,22,0,0,0,0
365,-1,0.503539,460,0,0,0,0,0,407,205,19,0,0,0,0
366,-1,0.503539,465,0,0,0,0,0,187,98,19,0,0,0,0
367,-1,0.504886,462,1,1,0,0,0,280,164,20,0,0,0,0
368,-1,0.504886,460,0,0,0,0,0,284,98,19,0,0,0,0
369,-1,0.504261,452,0,0,0,0,0,389,107,19,0,0,0,0
370,-1,0.504886,455,0,0,0,0,0,228,72,20,0,0,0,0
371,-1,0.504886,455,0,0,0,0,0,228,98,21,0,0,0,0
372,-1,0.504261,459,0,0,0,0,0,357,107,19,0,0,0,0
373,-1,0.504261,458,0,0,0,0,0,357,107,19,0,0,0,0
374,-1,0.504886,453,0,0,0,0,0,357,107,20,0,0,0,0
375,-1,0.504886,456,1,1,0,0,0,347,95,19,0,0,0,0
376,-1,0.504886,454,0,0,0,0,0,322,107,20,0,0,0,0
377,-1,0.504261,458,4,3,0,0,1,366,117,20,0,0,0,0
378,-1,0.504886,455,0,0,0,0,0,331,107,20,0,0,0,0
379,-1,0.504886,450,0,0,0,0,0,389,107,19,0,0,0,0
380,-1,0.504886,450,0,0,0,0,0,357,107,20,0,0,0,0
381,-1,0.504261,460,0,0,0,0,0,312,107,19,0,0,0,0
382,-1,0.504886,459,0,0,0,0,0,380,107,19,0,0,0,0
383,-1,0.503539,459,0,0,0,0,0,337,161,20,0,0,0,0
384,-1,0.504886,463,0,0,0,0,0,357,110,22,0,0,0,0
385,-1,0.504261,455,0,0,0,0,0,288,170,20,0,0,0,0
386,-1,0.504886,456,0,0,0,0,0,324,87,19,0,0,0,0
387,-1,0.503539,457,0,0,0,0,0,324,87,19,0,0,0,0
388,-1,0.504886,453,0,0,0,0,0,322,107,20,0,0,0,0
